autID,author,role
0,Proclamions CANALISÉES,INSTRUCTOR
1,Incomprises DÉMARQUÉS,INSTRUCTOR
2,Réinsérerais RÉALISATIONS,INSTRUCTOR
3,Sauras DÉROBERAIS,INSTRUCTOR
4,Terrasserez NAISSAIT,INSTRUCTOR
5,Bétonné VANILLÉE,INSTRUCTOR
6,Franciseront RATTRAPERAIS,INSTRUCTOR
7,Démaquillera FÉDÉREREZ,INSTRUCTOR
8,Littérale INTITULERAS,INSTRUCTOR
9,Semonces VOTERA,INSTRUCTOR
10,Impliqueront CONCILIÉS,INSTRUCTOR
11,Massacrer VOISINERAIS,LEARNER
12,Réorientent IMPLANTENT,INSTRUCTOR
7,Démaquillera FÉDÉREREZ,LEARNER
13,Enjambèrent FRAUDULEUSES,INSTRUCTOR
14,Détiendras DÉGRADERAS,INSTRUCTOR
15,Totalisée ÉDIFIA,INSTRUCTOR
16,Fuyants PROFÉRÉS,INSTRUCTOR
17,Cabosser MÉNAGÉE,INSTRUCTOR
18,Dispenserais RECENSERIEZ,INSTRUCTOR
19,Scruterait VAGABONDANT,INSTRUCTOR
20,Accepte DUELLISTES,LEARNER
21,Fassent DÉCOUVRIR,INSTRUCTOR
22,Démarrant DÉCEVIEZ,INSTRUCTOR
23,Asymétries DESSÉCHÉES,LEARNER
24,Raffermissez INNOCENTÉ,INSTRUCTOR
25,Stoïcisme ENLÈVERIONS,INSTRUCTOR
26,Dégarnissons CONFÉRERAIT,LEARNER
27,Brosserions IVRES,INSTRUCTOR
28,Réverbérera INSOUPÇONNÉE,INSTRUCTOR
29,Anarchistes FLÉCHISSAIS,LEARNER
30,Referais LOYAUTÉS,INSTRUCTOR
31,Adossées ENGLOUTI,INSTRUCTOR
32,Paganiser LURETTE,INSTRUCTOR
33,Motions BANNISSE,NOT_ENROLLED
34,Allument CROISERIONS,INSTRUCTOR
35,Débourber CÉLÉRITÉ,INSTRUCTOR
36,Suppléments MÉTHODOLOGIE,INSTRUCTOR
37,Économisait BANJO,INSTRUCTOR
38,Avalés EXCLAMERIONS,INSTRUCTOR
39,Pâquerette HALTE,INSTRUCTOR
40,Régnais DÉLIBÉREREZ,LEARNER
41,Agiriez PROCURERAI,LEARNER
42,Arpentiez CRITIQUAIS,INSTRUCTOR
43,Devanciers INSPIRAIENT,LEARNER
44,Ruisselants DURAIENT,INSTRUCTOR
45,Vexions TOURNURES,INSTRUCTOR
46,Obligions PRÉPARÉE,INSTRUCTOR
47,Amendée ALLÉGUÈRENT,INSTRUCTOR
48,Oubliaient LUGE,LEARNER
49,Inventoriais LÉCHERAI,INSTRUCTOR
50,Veuillent FORMULABLES,INSTRUCTOR
51,Oxydait CHICANÉ,INSTRUCTOR
52,Pêcherai GUEUSER,INSTRUCTOR
53,Immerger SURPRENAIT,NOT_ENROLLED
54,Galopa FINALISTES,INSTRUCTOR
55,Pratiquerons PARAPHERAIS,NOT_ENROLLED
56,Surélèves FUSIONNIEZ,INSTRUCTOR
57,Reprochions DÉFONCERAIT,INSTRUCTOR
58,Recrachèrent BALUSTRADE,LEARNER
59,Réformerons PERPÉTUERAI,INSTRUCTOR
60,Rectifierai CASH-FLOW,INSTRUCTOR
61,Alcoolisa RAMEUTÉE,INSTRUCTOR
62,Décrivant TÉLEXER,LEARNER
63,Attribuée ÉGYPTOLOGUES,INSTRUCTOR
64,Médiatisais ASSEYAIENT,INSTRUCTOR
65,Pompée GAGERONT,INSTRUCTOR
66,Détaillais RÉCONCILIERA,INSTRUCTOR
67,Sèvrerons FRANCHIE,INSTRUCTOR
68,Découlèrent PAUPÉRISAIS,INSTRUCTOR
69,Acquièrent ROUAGE,INSTRUCTOR
70,Suffoquer AMASSÉ,INSTRUCTOR
71,Mêlé REJOUERA,INSTRUCTOR
72,Dégringoliez PRIORI,LEARNER
73,Négocierai RETROUVERA,INSTRUCTOR
74,Parcheminer DÉGROUPERAS,INSTRUCTOR
75,Supplieras QUALIFIER,INSTRUCTOR
