autID,author,role
1323,Alité EMPRESSIONS,INSTRUCTOR
3858,Lessivons SUBSTITUÉE,INSTRUCTOR
3226,Lotes GOBENT,INSTRUCTOR
1634,Exhaussa EXPLIQUER,INSTRUCTOR
618,Obtiendrait ASSISTE,INSTRUCTOR
4226,Tamis ASSIÉGÉES,INSTRUCTOR
698,Pistons MANDATS,LEARNER
3189,Galants RELATÉES,INSTRUCTOR
825,Réjouies STABILISÉS,INSTRUCTOR
48,Oubliaient LUGE,LEARNER
985,Contrevenant SON,INSTRUCTOR
2870,Redouter HABITUEL,INSTRUCTOR
334,Apeurés MÉDICASTRES,INSTRUCTOR
1721,Éolienne DÉVÊTEZ,INSTRUCTOR
1398,Choisissons MALAXAGES,INSTRUCTOR
1549,Oxygènes ALLONGE,INSTRUCTOR
581,Polochons BRU^LÉES,INSTRUCTOR
363,Ascètes FARDA,INSTRUCTOR
463,Remit PRÉDIQUER,INSTRUCTOR
948,Capota ÉTRENNÈRENT,INSTRUCTOR
1029,Moulinet ANTHROPOÏDES,NOT_ENROLLED
2089,Cimaises DÉLAYÉE,INSTRUCTOR
2029,Survivance USINE,LEARNER
2255,Toisera RECULERAIT,INSTRUCTOR
1455,Périnataux ASSUREUR,INSTRUCTOR
2188,Vou^tée FLONFLON,INSTRUCTOR
2005,Ogres PROFUSION,INSTRUCTOR
4041,Calumets ENDUIRAIENT,INSTRUCTOR
3346,Exaspérer ARRANGERAS,LEARNER
1141,Réanimeront CONFORMONS,INSTRUCTOR
2773,Mufliers MÉCANISERAIT,INSTRUCTOR
53,Immerger SURPRENAIT,NOT_ENROLLED
3662,Résigna FENÊTRES,LEARNER
3149,Germerait DISPENSEZ,INSTRUCTOR
337,Vertige REPENSER,INSTRUCTOR
185,Hypnotisé LÂCHAIENT,INSTRUCTOR
234,Décimerions ENRICHI,LEARNER
1848,Abîmèrent DÉBUTANTES,LEARNER
684,Inhibes LIQUIDEREZ,INSTRUCTOR
3585,Hâtera INFINITIFS,INSTRUCTOR
1514,Vomiriez MÉLANGÉ,INSTRUCTOR
2330,Minimise CERF,LEARNER
2994,Vire BLÂMABLES,INSTRUCTOR
709,Déshérite AFFRONTEMENT,INSTRUCTOR
3789,Serreriez RESSAISIRONT,INSTRUCTOR
1038,Bleuissait GRILLÉ,INSTRUCTOR
702,Rejouant INVALIDÉE,INSTRUCTOR
142,Fuyais MAJORITAIRE,INSTRUCTOR
1048,Idéale ÉGRISER,LEARNER
2918,Brevetions REPLACERIONS,LEARNER
2133,Composterai TANGUER,INSTRUCTOR
388,Tamponner JOUIEZ,INSTRUCTOR
577,Légitimerais PARCE,INSTRUCTOR
1236,Endiguerait RHUBARBE,INSTRUCTOR
365,Distinguant ÉLARGISSAIS,LEARNER
2663,Délais HABILITERAIS,INSTRUCTOR
383,Grisée SCULPTERAIS,LEARNER
89,Cabossé DÉSCOLARISER,LEARNER
889,Entreprenant SIÉGEA,LEARNER
43,Devanciers INSPIRAIENT,LEARNER
2580,Incriminiez FONCEREZ,INSTRUCTOR
3231,Vivoté BALISÉES,INSTRUCTOR
2945,Laitiers QUILLE,INSTRUCTOR
